Helmenharmaat	#E3E3E3
Savunharmaat	#888C8F
Hylkeenharmaat	#8D9994
Teräksenharmaat	#656566
Armeijanharmaat	#838385
Lyijynharmaat	#687378
Myrskynharmaat	#78787F
Loskanharmaat	#E3DFDA
Jäänharmaat	#E0E0DE
Punaharmaat	#856D6D
Tuhkanharmaat	#BDBAAA
Vihreänharmaat	#788878
Maantienharmaat	#A1927A
Tinanharmaat	#7A7A78
Jäkälänharmaat	#C4CFC8
Pulunharmaat	#858585
Pajunkissanharmaat	#D9D9D9
Ruskeanharmaat	#554D42
Noenmustat	#151B21
Korpinmustat	#141A16
Salmiakinmustat	#19241D
